Line number,Character,Place,Time,Line,Word count,sentiment_sc
1,Pumpkin,int. coffee shop,morning,No forget it its too risky Im through doin that shit,11,-0.8176
2,Honey Bunny,int. coffee shop,morning,You always say that the same thing every time never again Im through too dangerous,15,-0.4767
4,Honey Bunny,int. coffee shop,morning, but you forget about it in a day or two ,10,-0.3291
5,Pumpkin,int. coffee shop,morning, yeah well the days of me forgittin are over and the days of me rememberin have just begun,18,0.5106
6,Honey Bunny,int. coffee shop,morning,When you go on like this you know what you sound like,12,0.6124
7,Pumpkin,int. coffee shop,morning,I sound like a sensible fucking man is what I sound like,12,0.6124
8,Honey Bunny,int. coffee shop,morning,You sound like a duck Quack quack quack quack quack quack quack,12,0.3612
9,Pumpkin,int. coffee shop,morning,Well take heart cause youre never gonna hafta hear it again Because since Im never gonna do it again youre never gonna hafta hear me quack about how Im never gonna do it again,34,0.2732
13,Honey Bunny,int. coffee shop,morning,Oh yes thank you,4,0.6369
14,Pumpkin,int. coffee shop,morning,Im doin fine,3,0.2023
15,Pumpkin,int. coffee shop,morning,I mean the way it is now youre takin the same fuckin risk as when you rob a bank You take more of a risk Banks are easier Federal banks arent supposed to stop you anyway during a robbery Theyre insured why should they care You dont even need a gun in a federal bank I heard about this guy walked into a federal bank with a portable phone handed the phone to the teller the guy on the other end of the phone said We got this guys little girl and if you dont give him all your money were gonna kill er,104,-0.5538
18,Honey Bunny,int. coffee shop,morning,Did they hurt the little girl,6,-0.5267
20,Honey Bunny,int. coffee shop,morning,You wanna rob banks,4,-0.5574
21,Pumpkin,int. coffee shop,morning,Im not sayin I wanna rob banks Im just illustrating that if we did it would be easier than what we been doin,23,0.6931
22,Honey Bunny,int. coffee shop,morning,So you dont want to be a bank robber,9,-0.6231
23,Pumpkin,int. coffee shop,morning,Naw all those guys are goin down the same road either dead or servin twenty,15,-0.6486
24,Honey Bunny,int. coffee shop,morning,And no more liquor stores,5,-0.296
25,Pumpkin,int. coffee shop,morning,What have we been talking about Yeah no moreliquorstores Besides it aint the giggle it usta be Too many foreigners own liquor stores Vietnamese Koreans they cant fuckin speak English You tell em Empty out the register and they dont know what it fuckin means They make it too personal We keep on one of those gook motherfuckers gonna make us kill em,63,-0.833
26,Honey Bunny,int. coffee shop,morning,Im not gonna kill anybody,5,0.5773
27,Pumpkin,int. coffee shop,morning,I dont wanna kill anybody either But theyll probably put us in a situation where its us of them And if its not the gooks it these old Jews whove owned the store for fifteen fuckin generations Ya got Grandpa Irving sittin behind the counter with a fuckin Magnum Try walkin into one of those stores with nothin but a telephone see how far it gets you Fuck it forget it were out of it,75,-0.6938
28,Honey Bunny,int. coffee shop,morning,Well what else is there day jobs,7,0.2732
30,Honey Bunny,int. coffee shop,morning,Well what then,3,0.2732
35,Pumpkin,int. coffee shop,morning,Whats wrong with that People never rob restaurants why not Bars liquor stores gas stations you get your head blown off stickin up one of them Restaurants on the other hand you catch with their pants down Theyre not expecting to get robbed or not as expecting,47,0.4632
36,Honey Bunny,int. coffee shop,morning,I bet in places like this you could cut down on the hero factor,14,0.6124
37,Pumpkin,int. coffee shop,morning,Correct Just like banks these places are insured The managers dont give a fuck theyre just tryin to get ya out the door before you start pluggin diners Waitresses forget it they aint takin a bullet for the register Busboys some wetback gettin paid a dollar fifty a hour gonna really give a fuck youre stealin from the owner Customers are sittin there with food in their mouths they dont know whats goin on One minute theyre havin a Denver omelet next minute somebodys stickin a gun in their face,90,0.5994
38,Pumpkin,int. coffee shop,morning,See I got the idea last liquor store we stuck up Member all those customers kept comin in,18,-0.25
39,Honey Bunny,int. coffee shop,morning,Yeah,1,0.296
